Failas output1.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.344%, Mažiausias pasikartojimo dažnis: 5.893%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=57.20%, b1=53.15%, b2=53.07%, b3=52.72%
Pozicija 35: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.60%, Mažiausias pasikartojimo dažnis: 2.52%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.05%, b1=51.93%, b2=52.01%, b3=52.30%
Pozicija 36: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.65%, Mažiausias pasikartojimo dažnis: 3.34%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.59%, b1=51.43%, b2=51.68%, b3=51.73%
Pozicija 37: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.75%, Mažiausias pasikartojimo dažnis: 2.63%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.14%, b1=51.90%, b2=51.68%, b3=51.62%
Pozicija 38: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.62%, Mažiausias pasikartojimo dažnis: 3.33%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.13%, b1=51.36%, b2=51.52%, b3=51.75%
Pozicija 39: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 2.73%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.85%, b1=51.60%, b2=51.82%, b3=51.89%
Pozicija 40: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 3.25%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.89%, b1=51.60%, b2=51.87%, b3=51.72%
Pozicija 41: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.81%, Mažiausias pasikartojimo dažnis: 2.75%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.63%, b1=51.86%, b2=51.70%, b3=51.87%
Pozicija 42: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.91%, Mažiausias pasikartojimo dažnis: 3.26%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.23%, b1=51.73%, b2=51.25%, b3=51.56%
Pozicija 43: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 2.86%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.87%, b1=51.96%, b2=51.89%, b3=51.82%
Pozicija 44: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.34%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.09%, b1=51.54%, b2=51.54%, b3=51.36%
Pozicija 45: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.72%, Mažiausias pasikartojimo dažnis: 2.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.61%, b1=51.88%, b2=51.77%, b3=51.50%
Pozicija 46: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.63%, Mažiausias pasikartojimo dažnis: 3.27%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.53%, b1=51.69%, b2=51.51%, b3=51.60%
Pozicija 47: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 2.92%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.28%, b1=51.62%, b2=51.96%, b3=51.81%
Pozicija 48: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.55%, Mažiausias pasikartojimo dažnis: 3.20%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.64%, b1=51.67%, b2=51.85%, b3=51.58%
Pozicija 49: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.87%, Mažiausias pasikartojimo dažnis: 2.79%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.74%, b1=51.40%, b2=51.80%, b3=51.98%
Pozicija 50: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.70%, Mažiausias pasikartojimo dažnis: 3.17%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.35%, b1=51.44%, b2=51.46%, b3=51.38%
Pozicija 51: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.69%, Mažiausias pasikartojimo dažnis: 2.81%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.79%, b1=51.54%, b2=51.90%, b3=51.70%
Pozicija 52: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.86%, Mažiausias pasikartojimo dažnis: 3.13%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.19%, b1=51.56%, b2=51.75%, b3=51.49%
Pozicija 53: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.86%, Mažiausias pasikartojimo dažnis: 2.86%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.82%, b1=51.65%, b2=51.51%, b3=51.59%
Pozicija 54: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.87%, Mažiausias pasikartojimo dažnis: 3.15%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.60%, b1=51.66%, b2=51.35%, b3=51.42%
Pozicija 55: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.88%, Mažiausias pasikartojimo dažnis: 2.83%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.08%, b1=51.61%, b2=51.55%, b3=51.72%
Pozicija 56: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.98%, Mažiausias pasikartojimo dažnis: 3.14%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.16%, b1=51.52%, b2=51.68%, b3=51.46%
Pozicija 57: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.88%, Mažiausias pasikartojimo dažnis: 2.93%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.16%, b1=51.56%, b2=51.61%, b3=51.72%
Pozicija 58: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.28%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.11%, b1=51.35%, b2=51.48%, b3=51.66%
Pozicija 59: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.78%, Mažiausias pasikartojimo dažnis: 2.84%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.71%, b2=51.89%, b3=51.53%
Pozicija 60: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.57%, Mažiausias pasikartojimo dažnis: 3.19%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.03%, b1=51.55%, b2=51.59%, b3=51.40%
Pozicija 61: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.73%, Mažiausias pasikartojimo dažnis: 2.84%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.95%, b1=51.90%, b2=51.78%, b3=51.72%
Pozicija 62: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.69%, Mažiausias pasikartojimo dažnis: 3.11%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.38%, b1=51.91%, b2=51.56%, b3=51.81%
Pozicija 63: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.66%, Mažiausias pasikartojimo dažnis: 2.86%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.19%, b1=51.93%, b2=51.73%, b3=51.77%
Pozicija 64: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 3.00%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.86%, b1=51.99%, b2=52.04%, b3=51.86%

Vidurkiai failui output2:
Avg Unikalių simbolių: 15.98
Avg Didžiausias pasikartojimo dažnis (%): 6.75
Avg Mažiausias pasikartojimo dažnis (%): 3.09
Avg Nepasikartojančių simbolių: 0.00
Avg bitu pasiskirstymas (MSB..LSB) per faila: b0=52.54%, b1=51.63%, b2=51.71%, b3=51.69%

Failas output3.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.01%, Mažiausias pasikartojimo dažnis: 6.25%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.28%, b1=52.98%, b2=53.41%, b3=53.46%
Pozicija 2: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.41%, Mažiausias pasikartojimo dažnis: 5.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.28%, b1=50.17%, b2=50.16%, b3=50.09%
Pozicija 3: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.05%, Mažiausias pasikartojimo dažnis: 0.32%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.30%, b1=52.87%, b2=53.34%, b3=53.12%
Pozicija 4: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.44%, Mažiausias pasikartojimo dažnis: 5.55%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.64%, b1=50.32%, b2=50.47%, b3=50.57%
Pozicija 5: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.92%, Mažiausias pasikartojimo dažnis: 0.60%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.92%, b1=52.68%, b2=52.99%, b3=53.20%
Pozicija 6: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 5.23%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.44%, b1=50.23%, b2=50.44%, b3=50.58%
Pozicija 7: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.97%, Mažiausias pasikartojimo dažnis: 0.91%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.23%, b1=52.55%, b2=52.66%, b3=52.73%
Pozicija 8: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.49%, Mažiausias pasikartojimo dažnis: 5.01%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.27%, b1=50.39%, b2=50.73%, b3=50.59%
Pozicija 9: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.91%, Mažiausias pasikartojimo dažnis: 1.20%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.77%, b1=52.42%, b2=52.99%, b3=52.71%
Pozicija 10: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.46%, Mažiausias pasikartojimo dažnis: 4.76%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=50.95%, b1=50.78%, b2=50.52%, b3=50.87%
Pozicija 11: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.91%, Mažiausias pasikartojimo dažnis: 1.37%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.35%, b1=52.79%, b2=52.71%, b3=52.45%
Pozicija 12: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.56%, Mažiausias pasikartojimo dažnis: 4.52%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.49%, b1=50.83%, b2=50.94%, b3=50.88%
Pozicija 13: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.00%, Mažiausias pasikartojimo dažnis: 1.45%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.49%, b1=52.02%, b2=52.72%, b3=52.63%
Pozicija 14: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 4.41%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.17%, b1=50.90%, b2=51.14%, b3=50.87%
Pozicija 15: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 7.01%, Mažiausias pasikartojimo dažnis: 1.66%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=55.14%, b1=51.92%, b2=52.45%, b3=52.25%
Pozicija 16: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 4.21%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.84%, b1=50.97%, b2=51.15%, b3=50.87%
Pozicija 17: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.81%, Mažiausias pasikartojimo dažnis: 1.85%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.50%, b1=52.12%, b2=52.50%, b3=52.12%
Pozicija 18: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 4.13%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.62%, b1=51.01%, b2=50.86%, b3=51.19%
Pozicija 19: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.81%, Mažiausias pasikartojimo dažnis: 1.90%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.82%, b1=52.09%, b2=52.31%, b3=52.54%
Pozicija 20: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.61%, Mažiausias pasikartojimo dažnis: 4.07%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.32%, b1=51.28%, b2=50.86%, b3=51.20%
Pozicija 21: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 2.04%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.97%, b1=52.35%, b2=52.05%, b3=52.16%
Pozicija 22: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.59%, Mažiausias pasikartojimo dažnis: 3.84%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.18%, b1=51.04%, b2=51.16%, b3=51.25%
Pozicija 23: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.88%, Mažiausias pasikartojimo dažnis: 2.17%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.73%, b1=52.04%, b2=52.06%, b3=52.03%
Pozicija 24: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.63%, Mažiausias pasikartojimo dažnis: 3.93%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.22%, b1=51.37%, b2=51.26%, b3=51.25%
Pozicija 25: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.81%, Mažiausias pasikartojimo dažnis: 2.35%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.34%, b1=51.96%, b2=52.06%, b3=51.70%
Pozicija 26: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.58%, Mažiausias pasikartojimo dažnis: 3.73%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.66%, b1=51.11%, b2=51.72%, b3=51.38%
Pozicija 27: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.70%, Mažiausias pasikartojimo dažnis: 2.36%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.31%, b1=51.84%, b2=52.29%, b3=52.01%
Pozicija 28: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.57%, Mažiausias pasikartojimo dažnis: 3.56%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.54%, b1=51.39%, b2=51.28%, b3=51.42%
Pozicija 29: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.64%, Mažiausias pasikartojimo dažnis: 2.42%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.54%, b1=51.97%, b2=52.04%, b3=51.80%
Pozicija 30: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.52%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.44%, b1=51.39%, b2=51.56%, b3=51.50%
Pozicija 31: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.80%, Mažiausias pasikartojimo dažnis: 2.50%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.28%, b1=51.48%, b2=51.84%, b3=52.00%
Pozicija 32: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.63%, Mažiausias pasikartojimo dažnis: 3.55%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.28%, b1=51.58%, b2=51.42%, b3=51.20%
Pozicija 33: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.82%, Mažiausias pasikartojimo dažnis: 2.58%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.52%, b1=51.74%, b2=51.71%, b3=51.72%
Pozicija 34: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.81%, Mažiausias pasikartojimo dažnis: 3.44%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.61%, b2=51.99%, b3=51.57%
Pozicija 35: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.87%, Mažiausias pasikartojimo dažnis: 2.68%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.50%, b1=51.74%, b2=51.87%, b3=51.75%
Pozicija 36: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.76%, Mažiausias pasikartojimo dažnis: 3.42%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.66%, b1=51.22%, b2=51.55%, b3=51.36%
Pozicija 37: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 2.58%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.26%, b1=51.53%, b2=51.96%, b3=52.18%
Pozicija 38: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.62%, Mažiausias pasikartojimo dažnis: 3.40%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.08%, b1=51.41%, b2=51.22%, b3=51.56%
Pozicija 39: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.70%, Mažiausias pasikartojimo dažnis: 2.63%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.61%, b1=51.79%, b2=52.07%, b3=51.79%
Pozicija 40: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.65%, Mažiausias pasikartojimo dažnis: 3.28%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.56%, b1=51.77%, b2=51.62%, b3=51.55%
Pozicija 41: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 2.79%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.25%, b1=51.41%, b2=51.75%, b3=51.72%
Pozicija 42: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 3.41%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.70%, b1=51.65%, b2=51.25%, b3=51.50%
Pozicija 43: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.75%, Mažiausias pasikartojimo dažnis: 2.90%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.15%, b1=51.58%, b2=51.61%, b3=51.59%
Pozicija 44: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.32%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.10%, b1=51.33%, b2=51.20%, b3=51.52%
Pozicija 45: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.75%, Mažiausias pasikartojimo dažnis: 2.78%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.23%, b1=51.65%, b2=51.66%, b3=52.07%
Pozicija 46: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.66%, Mažiausias pasikartojimo dažnis: 3.27%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.35%, b1=51.48%, b2=51.42%, b3=51.87%
Pozicija 47: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.84%, Mažiausias pasikartojimo dažnis: 2.76%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.67%, b1=51.66%, b2=51.74%, b3=51.72%
Pozicija 48: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.66%, Mažiausias pasikartojimo dažnis: 3.23%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.16%, b1=51.75%, b2=51.40%, b3=51.56%
Pozicija 49: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 2.77%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.77%, b1=51.69%, b2=51.80%, b3=52.02%
Pozicija 50: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.74%, Mažiausias pasikartojimo dažnis: 3.24%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.11%, b1=51.48%, b2=51.39%, b3=51.42%
Pozicija 51: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 2.83%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.40%, b1=51.65%, b2=51.55%, b3=51.81%
Pozicija 52: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.68%, Mažiausias pasikartojimo dažnis: 3.19%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.49%, b1=51.37%, b2=51.67%, b3=51.57%
Pozicija 53: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.83%, Mažiausias pasikartojimo dažnis: 2.86%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.18%, b1=51.52%, b2=51.90%, b3=51.61%
Pozicija 54: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.14%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.03%, b1=51.58%, b2=51.77%, b3=51.55%
Pozicija 55: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.83%, Mažiausias pasikartojimo dažnis: 2.91%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=53.21%, b1=51.92%, b2=51.41%, b3=51.57%
Pozicija 56: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.82%, Mažiausias pasikartojimo dažnis: 3.11%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.58%, b1=51.41%, b2=51.28%, b3=51.52%
Pozicija 57: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 2.97%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.62%, b2=51.63%, b3=51.49%
Pozicija 58: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.68%, Mažiausias pasikartojimo dažnis: 3.07%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.69%, b1=51.45%, b2=51.65%, b3=51.39%
Pozicija 59: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.65%, Mažiausias pasikartojimo dažnis: 2.90%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.68%, b1=51.72%, b2=51.55%, b3=51.75%
Pozicija 60: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.71%, Mažiausias pasikartojimo dažnis: 3.23%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.52%, b1=51.88%, b2=51.31%, b3=51.53%
Pozicija 61: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.72%, Mažiausias pasikartojimo dažnis: 2.94%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.94%, b1=51.61%, b2=51.80%, b3=51.66%
Pozicija 62: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.09%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.25%, b2=51.60%, b3=51.56%
Pozicija 63: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.79%, Mažiausias pasikartojimo dažnis: 2.88%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.90%, b1=51.61%, b2=51.46%, b3=52.05%
Pozicija 64: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.77%, Mažiausias pasikartojimo dažnis: 3.10%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=52.91%, b1=51.34%, b2=51.56%, b3=51.68%

Vidurkiai failui output3:
Avg Unikalių simbolių: 15.98
Avg Didžiausias pasikartojimo dažnis (%): 6.74
Avg Mažiausias pasikartojimo dažnis (%): 3.09
Avg Nepasikartojančių simbolių: 0.00
Avg bitu pasiskirstymas (MSB..LSB) per faila: b0=52.77%, b1=51.58%, b2=51.68%, b3=51.68%

Failas output4.txt analizė:
Pozicija 1: Unikalių simbolių: 15, Didžiausias pasikartojimo dažnis: 7.14%, Mažiausias pasikartojimo dažnis: 6.40%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=54.84%, b1=52.99%, b2=53.54%, b3=53.04%
Pozicija 2: Unikalių simbolių: 16, Didžiausias pasikartojimo dažnis: 6.49%, Mažiausias pasikartojimo dažnis: 5.93%, Nepasikartojančių simbolių: 0, Bitų pasiskirstymas (MSB..LSB): b0=51.00%, b1=50.37%, b2=50.21%, b3=49.85%
